ISO,Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
IND,India,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,17.52,18.14,17.26,16.51,15.37,14.41,13.98,13.63,14.53,14.09,13.4,12.62,12.86,11.39,9.8,9.15,8.16,7.46,7.35,7.27,7.07,6.73,6.62,6.68,6.41,5.89,5.45,4.99,4.9,5.16
ESP,Spain,Climate Watch,Industrial Processes,All GHG,MtCO₂e,17.38,18.67,19.14,19.79,19.79,26.0,24.8,25.89,26.79,29.26,29.67,34.1,35.62,33.6,31.13,29.12,28.9,26.51,27.6,30.81,29.14,26.37,25.28,23.27,22.51,19.92,16.41,17.79,18.57,19.91
ITA,Italy,Climate Watch,Waste,All GHG,MtCO₂e,16.74,16.99,17.23,17.47,17.82,17.64,17.74,18.98,18.9,19.55,19.74,19.65,20.17,20.52,21.1,21.04,21.63,21.82,22.59,21.38,20.4,20.37,20.64,20.09,19.41,18.83,18.21,17.7,17.31,16.69
HRV,Croatia,Climate Watch,Energy,All GHG,MtCO₂e,16.11,15.99,16.91,16.6,16.24,15.75,16.67,17.18,18.8,19.14,19.93,21.03,22.09,20.84,20.8,20.43,21.05,19.63,18.56,17.47,18.19,17.65,16.77,15.87,15.31,14.51,15.47,14.93,15.76,21.31
ROU,Romania,Climate Watch,Agriculture,All GHG,MtCO₂e,16.1,16.28,15.88,15.52,15.38,15.0,15.08,14.29,14.88,16.27,16.63,17.01,16.5,16.64,16.89,16.86,15.93,15.57,16.42,16.47,16.97,17.83,18.67,18.87,19.1,20.4,21.22,23.5,25.9,31.29
POL,Poland,Climate Watch,Industrial Processes,All GHG,MtCO₂e,15.81,16.34,16.25,16.35,16.1,16.17,15.1,15.47,16.02,14.34,13.18,17.05,17.8,15.97,14.19,13.21,11.94,10.82,11.22,11.71,10.46,10.49,11.07,10.63,10.9,10.47,8.95,8.87,8.77,9.19
FRA,France,Climate Watch,Waste,All GHG,MtCO₂e,14.69,14.78,14.87,14.96,15.98,16.86,17.42,17.92,18.56,19.1,19.04,19.6,19.82,20.05,20.24,20.5,20.65,20.63,20.47,20.22,19.92,19.56,18.98,18.62,18.23,17.75,17.27,16.48,15.73,15.06
KOR,South Korea,Climate Watch,Agriculture,All GHG,MtCO₂e,14.25,14.12,13.98,13.97,13.95,13.77,14.12,14.47,14.02,14.42,14.15,14.08,14.22,13.71,14.14,13.82,13.44,13.53,13.81,14.19,14.78,15.53,16.45,16.24,15.95,15.75,15.65,15.3,14.97,15.1
FIN,Finland,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,13.84,13.57,13.17,13.03,-48.27,-48.27,-48.32,-48.33,-48.39,-8.6,-8.7,-8.8,-8.87,-8.92,-8.96,-9.03,-9.33,-9.43,-9.56,-24.96,-25.36,-25.71,-25.79,-25.83,-25.84,-25.86,-25.86,-25.86,-25.86,-25.86
SVN,Slovenia,Climate Watch,Energy,All GHG,MtCO₂e,13.55,14.01,14.11,13.96,13.16,13.06,14.57,15.23,15.82,15.85,15.51,17.22,16.18,16.18,15.85,15.61,15.35,15.45,15.29,14.42,14.72,15.33,15.58,15.15,14.35,13.5,13.54,12.71,13.01,13.8
ESP,Spain,Climate Watch,Waste,All GHG,MtCO₂e,13.14,13.1,13.06,13.02,13.07,12.3,13.17,13.55,13.72,13.15,14.18,12.91,12.78,12.55,12.3,12.05,12.47,12.66,12.44,12.14,11.99,11.67,11.34,10.85,10.55,10.24,9.8,9.46,9.13,8.89
LTU,Lithuania,Climate Watch,Energy,All GHG,MtCO₂e,11.89,11.89,11.5,11.47,11.26,11.15,11.52,12.18,12.11,12.96,12.03,13.27,13.34,13.15,13.09,12.16,11.51,11.49,11.41,10.75,12.43,14.84,14.11,14.47,13.98,14.98,15.96,19.8,35.06,32.97
GRC,Greece,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,11.6,10.39,9.91,8.24,8.28,8.41,8.93,9.31,11.19,10.88,11.03,12.95,13.29,12.8,11.59,12.88,12.7,12.39,13.53,14.03,12.82,13.74,12.49,12.54,14.02,13.4,12.38,10.81,9.6,10.58
DNK,Denmark,Climate Watch,Agriculture,All GHG,MtCO₂e,10.64,10.51,10.75,10.77,10.72,10.55,10.42,10.59,10.54,10.6,10.41,10.67,10.71,10.57,10.7,10.81,11.11,11.2,11.49,11.38,11.4,11.91,11.97,12.03,12.1,12.15,12.43,12.25,12.6,12.71
EST,Estonia,Climate Watch,Energy,All GHG,MtCO₂e,10.15,15.85,16.86,16.08,14.53,17.45,18.8,16.87,18.39,18.51,14.12,17.17,19.49,16.01,16.73,16.83,16.75,14.84,15.27,15.01,15.57,16.48,17.99,18.41,17.5,19.53,19.2,24.1,33.66,36.48
POL,Poland,Climate Watch,Waste,All GHG,MtCO₂e,9.93,10.03,10.13,10.24,11.0,11.48,11.92,12.09,12.55,13.0,13.12,13.07,13.39,13.45,13.71,13.93,14.28,14.36,14.43,14.87,14.73,14.76,14.79,14.88,15.1,15.37,15.79,16.02,16.2,16.4
KOR,South Korea,Climate Watch,Waste,All GHG,MtCO₂e,9.43,9.62,9.82,10.01,10.21,10.46,10.32,10.4,10.87,11.05,11.36,11.22,11.39,12.17,12.49,12.47,13.76,13.7,13.6,13.05,12.97,12.98,14.05,13.78,13.43,13.14,12.43,12.11,11.4,10.59
LUX,Luxembourg,Climate Watch,Energy,All GHG,MtCO₂e,9.32,9.16,8.84,8.68,9.0,9.49,10.01,10.53,10.73,10.88,10.29,10.86,10.93,11.52,11.72,11.46,10.05,9.57,8.87,8.23,7.61,7.27,7.94,8.45,8.36,10.46,11.35,11.05,11.37,10.86
BEL,Belgium,Climate Watch,Agriculture,All GHG,MtCO₂e,9.28,9.3,9.22,9.53,9.77,9.67,9.5,9.61,9.75,9.84,9.8,9.65,9.77,9.78,9.94,10.08,10.24,10.65,10.08,10.22,11.44,11.01,11.12,11.33,11.34,11.18,11.21,11.27,11.48,11.56
SWE,Sweden,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,9.17,8.51,10.17,8.88,8.04,7.71,7.54,7.57,7.78,8.4,8.99,8.93,8.65,8.71,8.15,8.01,6.74,5.47,6.62,6.47,6.93,6.95,6.08,5.37,5.15,5.17,4.6,4.05,3.63,3.23
GRC,Greece,Climate Watch,Industrial Processes,All GHG,MtCO₂e,8.41,8.92,9.63,10.17,9.65,9.87,9.58,8.7,7.78,9.23,9.64,11.49,11.92,12.13,12.6,12.02,11.86,12.22,12.19,12.8,14.06,13.15,12.69,12.36,11.57,9.69,9.04,8.26,8.33,8.34
HUN,Hungary,Climate Watch,Agriculture,All GHG,MtCO₂e,8.26,8.29,8.16,8.18,7.63,7.6,7.54,7.05,7.23,7.0,7.15,7.7,7.42,7.52,7.5,7.97,7.57,7.79,8.2,8.0,8.1,7.86,8.09,8.18,7.58,8.05,8.37,8.74,10.67,11.28
DEU,Germany,Climate Watch,Waste,All GHG,MtCO₂e,8.2,8.63,9.06,9.48,10.07,10.68,11.34,12.11,12.94,13.81,14.93,16.17,17.4,18.77,20.44,21.89,23.35,24.87,26.38,28.05,29.7,31.41,33.55,36.55,38.07,39.13,40.0,40.21,39.66,38.31
SWE,Sweden,Climate Watch,Agriculture,All GHG,MtCO₂e,7.88,7.79,7.99,7.85,7.89,7.93,7.74,7.68,7.85,7.79,7.65,7.96,7.82,7.82,7.94,8.1,8.04,8.14,8.21,8.36,8.44,8.55,8.79,8.81,8.65,8.94,9.02,8.76,8.54,8.94
MLT,Malta,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,7.85,7.65,7.36,6.07,5.34,4.28,4.14,4.15,4.65,5.01,3.93,3.25,3.01,2.71,2.4,3.46,3.19,2.66,2.61,2.49,0.32,0.32,0.63,0.27,0.37,0.34,0.34,0.4,0.37,0.31
LVA,Latvia,Climate Watch,Energy,All GHG,MtCO₂e,7.51,7.75,7.18,7.27,7.31,7.26,7.41,7.5,7.81,8.58,7.74,8.48,8.93,8.58,8.17,8.05,8.02,7.81,7.82,7.38,7.98,8.61,9.03,9.54,9.54,10.79,12.4,14.5,17.94,19.49
PRT,Portugal,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,7.49,6.74,6.39,5.94,5.24,4.89,4.91,4.75,4.58,4.14,4.02,4.35,4.15,4.36,4.05,4.23,3.82,3.37,3.4,4.08,3.76,2.92,3.2,3.15,3.12,3.08,3.13,3.49,3.43,3.34
GRC,Greece,Climate Watch,Agriculture,All GHG,MtCO₂e,7.29,7.3,7.8,7.72,7.73,7.98,8.22,8.42,8.49,8.77,8.48,8.68,8.97,8.65,8.77,9.12,8.9,9.0,9.06,9.3,9.25,9.31,9.42,9.62,9.39,9.55,9.39,9.75,9.99,10.15
AUT,Austria,Climate Watch,Agriculture,All GHG,MtCO₂e,7.18,7.33,7.46,7.54,7.55,7.47,7.41,7.38,7.67,7.48,7.37,7.76,7.47,7.51,7.58,7.64,7.66,8.08,8.11,8.19,8.33,8.4,8.61,8.67,8.68,9.08,9.19,9.54,9.77,9.83
PRT,Portugal,Climate Watch,Agriculture,All GHG,MtCO₂e,7.17,7.04,7.31,7.08,7.09,6.96,6.72,6.76,6.71,6.63,6.78,6.87,6.91,6.76,6.86,6.81,6.86,6.9,6.96,7.54,7.67,7.69,7.66,7.76,7.57,7.63,7.46,7.69,7.93,8.08
IRL,Ireland,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,6.97,7.06,7.08,7.08,7.64,7.64,7.66,7.67,7.67,7.78,7.8,7.83,7.85,7.87,7.88,7.89,7.92,7.95,7.96,7.63,7.66,7.69,7.69,7.75,7.78,7.81,7.81,7.81,7.81,7.81
FIN,Finland,Climate Watch,Agriculture,All GHG,MtCO₂e,6.88,6.74,6.82,6.87,6.9,6.95,6.88,6.85,6.86,6.93,6.85,7.02,6.94,6.98,7.02,7.04,7.12,7.16,7.16,7.26,7.25,7.28,7.42,7.38,7.43,7.61,7.58,7.6,7.73,8.24
JPN,Japan,Climate Watch,Waste,All GHG,MtCO₂e,6.69,6.8,6.92,7.04,7.22,7.46,7.74,7.95,8.26,8.49,8.86,9.3,9.62,9.99,10.35,10.71,11.04,11.31,11.63,12.11,12.48,12.89,13.28,13.57,13.85,14.1,14.29,14.48,14.49,14.63
NLD,Netherlands,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,6.63,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.45,6.51,6.6,6.86,6.87,6.88,6.88,6.89,6.9,6.9,6.91,6.92,6.92,6.92
CZE,Czech Republic,Climate Watch,Agriculture,All GHG,MtCO₂e,6.51,6.59,6.82,7.14,7.05,6.6,6.5,6.46,6.03,5.94,6.0,6.2,6.28,6.12,6.22,6.35,6.4,6.46,7.49,7.18,7.15,7.33,7.78,8.32,8.25,8.67,9.44,10.16,11.25,13.58
CYP,Cyprus,Climate Watch,Energy,All GHG,MtCO₂e,6.49,6.43,6.52,6.41,6.05,5.91,5.75,6.67,7.17,7.43,7.69,7.76,7.57,7.25,7.18,7.04,7.15,6.46,6.31,6.42,6.19,5.92,5.58,5.45,5.14,5.24,5.03,4.84,4.52,3.96
PRT,Portugal,Climate Watch,Waste,All GHG,MtCO₂e,6.32,6.35,6.38,6.41,6.49,6.62,6.76,6.91,7.12,6.94,6.88,7.02,7.46,7.6,7.67,8.11,7.98,7.68,7.39,7.26,7.19,7.11,6.82,6.62,6.58,6.3,6.03,5.84,5.61,5.42
IRN,Iran,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,5.85,6.93,6.56,8.6,16.87,13.1,11.14,7.56,10.77,11.33,10.21,8.24,6.68,6.37,5.76,5.45,5.29,5.15,5.2,5.09,4.74,4.67,4.73,4.26,3.97,3.86,3.54,3.31,3.25,2.82
ROU,Romania,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.78,5.57,5.5,5.49,5.39,4.8,4.59,5.43,5.45,5.05,4.78,6.28,7.5,6.69,6.72,6.44,5.85,6.01,6.84,7.67,7.13,7.58,8.28,9.02,8.89,7.71,8.06,7.94,8.32,11.35
LTU,Lithuania,Climate Watch,Agriculture,All GHG,MtCO₂e,5.67,5.55,5.85,5.91,6.05,5.94,5.93,6.0,5.95,5.92,5.98,5.96,6.19,6.03,6.07,6.11,6.03,5.95,5.81,6.21,6.41,6.69,6.84,6.84,6.77,7.36,8.24,9.95,9.72,10.37
BEL,Belgium,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.65,5.6,5.58,5.96,5.83,6.25,6.07,6.27,6.2,7.08,6.79,6.83,6.72,7.22,7.85,7.72,7.59,8.16,8.23,8.64,8.55,8.69,8.44,8.38,8.1,7.68,7.07,6.84,6.7,6.5
ROU,Romania,Climate Watch,Waste,All GHG,MtCO₂e,5.64,5.69,5.73,5.78,5.79,5.79,5.8,5.51,4.95,5.46,5.38,5.38,5.43,5.3,5.45,5.47,5.4,5.3,5.3,5.27,5.3,5.23,5.27,5.2,5.14,4.92,4.89,4.87,4.94,5.02
DNK,Denmark,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,5.47,4.93,4.6,4.95,5.07,5.04,4.49,4.15,4.71,4.62,3.95,5.58,6.05,5.83,5.04,4.87,5.11,4.88,5.8,6.46,6.43,6.57,6.4,6.74,6.92,6.65,5.96,4.58,4.39,4.84
BGR,Bulgaria,Climate Watch,Agriculture,All GHG,MtCO₂e,5.45,5.4,5.5,5.54,5.32,5.22,5.06,4.8,5.6,4.95,5.16,4.97,4.85,4.55,5.01,5.54,5.75,5.55,5.29,5.29,5.18,5.15,5.34,5.49,5.4,6.3,7.03,8.74,11.11,11.97
IDN,Indonesia,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,5.22,5.83,5.72,5.36,4.94,4.84,4.78,4.53,4.29,4.35,3.47,3.28,3.1,2.95,2.79,1.89,2.28,1.68,1.56,1.6,1.64,2.09,2.21,1.54,2.5,1.74,1.78,1.75,1.67,2.7
CZE,Czech Republic,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.01,5.11,5.19,5.38,5.12,4.81,4.42,4.65,4.64,4.21,4.17,4.67,4.49,3.97,3.67,3.64,3.29,3.12,3.37,3.59,3.41,3.67,3.56,3.48,3.36,3.42,3.19,3.67,1.01,1.39
PRT,Portugal,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.75,5.0,5.51,5.5,5.98,6.01,5.6,5.16,5.28,5.89,5.54,6.37,6.34,5.91,5.84,5.63,5.06,5.2,4.78,4.9,4.8,4.46,4.37,4.11,4.15,3.81,3.76,3.77,3.89,3.82
CZE,Czech Republic,Climate Watch,Waste,All GHG,MtCO₂e,4.67,4.69,4.71,4.73,4.71,4.63,4.65,4.58,4.55,4.53,4.39,4.27,4.12,4.16,4.11,4.07,4.11,4.01,3.91,3.8,3.74,3.72,3.6,3.48,3.45,3.45,3.32,3.25,3.24,3.1
EST,Estonia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,4.62,4.63,4.6,4.6,-3.47,-3.47,-3.45,-3.47,-3.48,1.36,1.29,1.26,1.24,1.21,1.19,1.17,1.1,1.09,1.04,0.99,0.86,0.5,0.34,0.32,0.31,0.2,0.2,0.2,0.24,0.24
GRC,Greece,Climate Watch,Waste,All GHG,MtCO₂e,4.61,4.59,4.56,4.54,4.53,4.53,4.46,4.35,4.56,4.78,4.48,4.77,4.76,4.94,4.76,4.66,4.65,4.53,4.58,5.35,5.35,5.4,5.21,5.25,5.15,5.14,4.99,4.94,4.84,4.86
LTU,Lithuania,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,4.34,4.35,4.36,4.37,-1.07,-1.07,-1.02,-1.02,-1.02,5.07,5.07,5.1,5.1,5.09,5.09,5.11,5.15,5.16,5.17,5.69,5.69,5.72,5.73,5.74,5.77,5.76,5.77,5.77,5.8,5.8
POL,Poland,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,4.11,3.88,3.41,2.64,2.57,2.23,2.03,2.09,2.05,2.23,2.26,2.49,2.14,2.23,2.0,1.66,1.78,1.67,1.65,1.74,1.95,1.72,1.53,1.48,1.26,1.18,1.17,1.51,1.18,1.93
BGR,Bulgaria,Climate Watch,Waste,All GHG,MtCO₂e,3.89,3.94,3.99,4.04,4.17,4.31,4.42,4.4,4.57,4.59,4.72,4.87,5.04,5.16,5.32,5.71,5.85,5.71,5.99,6.31,6.46,6.69,6.96,7.0,6.98,6.53,7.42,7.63,7.65,7.96
IRL,Ireland,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,3.71,3.77,3.47,3.04,2.96,2.6,2.34,2.11,2.38,2.61,1.98,2.97,3.28,2.85,2.73,2.55,2.74,2.7,2.62,2.24,2.06,1.78,1.72,1.54,1.5,1.27,1.46,0.97,1.12,1.11
FIN,Finland,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,3.6,3.38,3.18,2.85,2.87,2.19,2.32,2.24,2.55,2.29,2.33,3.04,3.08,3.19,2.88,2.91,3.14,3.12,2.9,3.18,2.85,2.67,2.28,2.14,1.94,2.15,2.49,3.01,2.66,2.81
AUT,Austria,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.37,3.56,3.57,3.72,3.69,3.6,3.53,3.53,3.46,3.54,3.59,4.28,4.2,3.98,3.78,4.0,4.43,4.2,4.1,4.07,3.93,3.96,4.28,4.13,3.99,4.34,4.29,4.15,4.78,4.69
HUN,Hungary,Climate Watch,Waste,All GHG,MtCO₂e,3.22,3.26,3.31,3.36,3.46,3.52,3.64,3.88,3.92,4.02,4.13,4.17,4.19,4.19,4.26,4.28,4.4,4.33,4.24,4.24,4.16,4.1,4.05,4.01,4.0,3.96,3.93,3.88,3.84,3.76
LVA,Latvia,Climate Watch,Agriculture,All GHG,MtCO₂e,3.12,3.02,3.15,3.2,3.23,3.13,3.07,3.02,2.96,2.92,2.91,2.96,2.87,2.84,2.8,2.76,2.83,2.76,2.71,2.71,2.89,3.01,3.04,3.12,3.15,3.66,5.08,5.95,5.21,5.56
NLD,Netherlands,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.04,3.43,3.68,3.8,3.82,3.76,3.87,3.86,3.98,4.23,4.05,4.21,7.81,8.8,8.64,8.72,8.49,10.55,9.75,13.05,14.33,20.34,19.37,18.96,17.04,17.99,16.74,15.5,14.48,15.56
IRL,Ireland,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.95,3.06,3.06,3.1,2.83,2.68,2.27,2.21,2.03,2.17,2.42,3.21,3.58,3.56,3.4,3.41,3.46,3.15,3.49,3.46,2.66,2.4,2.53,2.19,1.96,1.79,1.63,1.62,1.64,1.94
AUT,Austria,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,2.92,2.53,2.27,2.34,2.14,2.0,2.01,2.1,2.16,2.06,1.92,2.21,2.21,2.08,2.0,1.78,1.5,1.6,1.7,1.73,1.58,1.64,1.56,1.5,1.36,1.22,1.16,1.1,1.02,0.92
NLD,Netherlands,Climate Watch,Waste,All GHG,MtCO₂e,2.76,2.88,3.01,3.13,3.32,3.52,3.76,3.96,4.19,4.47,4.8,5.06,5.41,5.8,6.26,7.78,8.11,8.67,9.14,9.71,10.29,11.21,11.69,12.07,12.48,13.16,13.67,14.04,14.3,14.16
HUN,Hungary,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.66,2.64,2.66,2.7,3.3,2.96,2.36,2.39,2.41,2.44,2.6,3.05,3.89,4.26,4.39,4.34,3.78,3.52,4.09,3.83,3.31,3.33,3.46,3.45,2.99,3.59,2.76,2.12,3.18,5.41
HRV,Croatia,Climate Watch,Agriculture,All GHG,MtCO₂e,2.64,2.63,2.71,2.57,2.63,2.59,2.59,2.86,3.06,2.92,2.88,3.95,3.72,3.69,3.22,3.39,3.07,3.14,2.96,3.01,3.02,2.97,3.36,3.06,3.13,3.29,3.4,3.75,3.9,4.35
SVK,Slovakia,Climate Watch,Agriculture,All GHG,MtCO₂e,2.51,2.54,2.49,2.64,2.53,2.61,2.52,2.47,2.47,2.37,2.42,2.48,2.52,2.59,2.61,2.83,2.82,2.92,2.97,2.97,3.03,3.49,3.71,3.84,3.76,4.0,4.45,4.73,5.24,6.32
BGR,Bulgaria,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.41,2.59,2.7,2.75,2.49,2.18,2.03,1.98,1.82,1.78,1.93,3.14,3.02,2.39,2.77,2.45,2.12,2.01,2.15,2.11,1.73,1.85,2.71,3.44,3.43,2.43,2.06,2.12,2.46,3.86
EST,Estonia,Climate Watch,Agriculture,All GHG,MtCO₂e,2.31,2.24,2.26,2.22,2.35,2.32,2.26,2.23,2.2,2.17,2.16,2.23,2.17,2.15,2.14,2.17,2.13,2.14,2.13,2.19,2.27,2.29,2.27,2.38,2.55,2.7,3.16,3.51,3.55,3.79
SWE,Sweden,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.28,2.6,2.55,2.69,2.67,2.6,2.57,2.73,2.75,3.01,2.81,3.22,3.23,3.5,3.4,3.29,3.14,3.19,3.16,3.2,3.05,2.97,2.82,2.8,2.89,2.62,2.56,2.51,2.75,2.84
SVK,Slovakia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.15,2.14,2.2,2.22,2.28,2.18,2.07,2.15,2.39,2.45,2.9,3.48,3.38,3.42,2.95,2.93,2.4,2.47,2.57,2.37,2.75,3.0,2.57,2.52,2.46,2.28,1.79,2.33,1.13,1.47
DNK,Denmark,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,2.06,2.07,2.07,2.07,-0.74,-0.74,-0.74,-0.74,-0.74,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.21,1.55,1.55,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57
FIN,Finland,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.95,2.07,2.17,2.22,2.19,2.17,2.19,2.14,2.14,2.13,2.57,3.53,3.3,3.17,3.25,3.02,2.78,2.66,2.56,2.58,2.39,2.29,2.25,2.1,2.02,1.9,1.75,1.81,2.05,2.44
HRV,Croatia,Climate Watch,Waste,All GHG,MtCO₂e,1.88,1.86,1.85,1.83,1.81,1.73,1.69,1.7,1.73,1.69,1.67,1.62,1.53,1.44,1.34,1.35,1.3,1.25,1.21,1.19,1.15,1.11,1.09,1.07,1.06,1.04,1.01,1.0,0.99,0.98
CYP,Cyprus,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,1.83,1.85,1.76,1.75,1.52,1.48,1.51,1.47,1.57,1.45,1.54,1.72,1.79,1.9,1.85,1.11,1.42,1.4,1.61,1.47,1.33,1.14,1.09,1.08,1.05,0.95,0.89,1.05,1.07,0.94
FIN,Finland,Climate Watch,Waste,All GHG,MtCO₂e,1.82,1.88,1.95,2.02,2.15,2.2,2.33,2.45,2.5,2.57,2.58,2.68,2.79,2.91,2.83,3.07,3.23,3.43,3.69,3.85,4.09,4.18,4.37,4.49,4.6,4.67,4.73,4.74,4.73,4.67
LUX,Luxembourg,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,1.81,1.85,1.73,1.53,1.38,1.22,1.13,1.12,1.21,1.3,1.27,1.32,1.31,1.22,1.3,1.28,1.18,1.13,1.05,0.97,1.0,0.85,0.76,0.62,0.57,0.5,0.4,0.4,0.41,0.4
HUN,Hungary,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,1.8,1.83,1.84,1.84,1.27,1.28,1.27,1.28,1.27,2.2,2.19,2.19,2.21,2.21,2.2,2.2,2.26,2.28,2.3,1.53,1.52,1.52,1.53,1.54,1.54,1.52,1.52,1.52,1.52,1.52
DNK,Denmark,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.71,1.79,1.87,1.82,1.68,1.69,1.74,1.75,1.82,1.7,1.87,2.4,2.74,2.78,2.81,2.92,3.07,3.0,3.04,3.11,2.91,2.69,2.55,2.53,2.41,2.15,2.07,1.99,1.96,1.83
HRV,Croatia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.69,1.75,1.85,1.67,1.94,1.93,1.84,2.14,2.28,2.4,2.23,2.67,2.73,2.61,2.5,2.72,2.76,3.02,3.3,3.48,3.81,4.01,4.67,5.08,5.63,5.01,3.94,3.45,1.56,2.04
MLT,Malta,Climate Watch,Energy,All GHG,MtCO₂e,1.68,1.57,1.54,1.37,1.68,2.38,2.39,2.74,2.59,2.61,2.53,2.75,2.74,2.67,2.65,2.62,2.63,2.33,2.51,2.15,2.43,2.4,2.49,2.34,2.4,2.53,2.83,2.19,2.23,2.33
SVN,Slovenia,Climate Watch,Agriculture,All GHG,MtCO₂e,1.62,1.61,1.64,1.65,1.61,1.6,1.59,1.61,1.65,1.67,1.66,1.71,1.67,1.68,1.7,1.72,1.83,1.81,1.86,1.8,1.77,1.88,1.93,1.93,1.97,2.03,2.05,2.07,2.36,2.63
SVK,Slovakia,Climate Watch,Waste,All GHG,MtCO₂e,1.5,1.49,1.49,1.48,1.48,1.49,1.53,1.54,1.58,1.47,1.44,1.41,1.38,1.4,1.34,1.3,1.44,1.43,1.21,1.2,1.19,1.19,1.18,1.17,1.17,1.18,1.2,1.2,1.21,1.21
AUT,Austria,Climate Watch,Waste,All GHG,MtCO₂e,1.41,1.46,1.51,1.57,1.65,1.73,1.83,1.94,2.04,2.16,2.28,2.43,2.54,2.67,2.78,2.92,2.85,2.85,2.85,2.95,3.06,3.18,3.3,3.45,3.64,3.81,3.91,3.93,3.97,3.9
LVA,Latvia,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,1.39,0.58,1.25,1.37,1.13,1.07,1.14,1.13,1.04,1.16,1.18,0.95,0.81,0.83,1.01,0.79,0.72,0.74,0.7,0.11,0.12,0.14,0.33,0.41,0.56,0.97,0.76,0.66,0.75,1.73
LTU,Lithuania,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.32,1.3,1.28,1.33,1.32,1.2,1.22,1.33,1.49,1.12,1.15,3.45,3.7,3.01,2.87,2.58,2.3,2.21,2.06,1.91,1.73,1.73,1.41,1.27,1.03,1.03,1.17,1.53,1.04,0.99
GRC,Greece,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,1.28,1.27,1.29,1.3,1.28,1.28,1.28,1.29,1.3,-1.21,-1.21,-1.18,-1.05,-1.18,-1.2,-1.2,-1.2,-1.2,-1.2,-1.0,-1.03,-0.82,-1.01,-1.02,-1.01,-1.02,-1.02,-1.02,-1.02,-1.02
CZE,Czech Republic,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,1.26,1.23,1.06,0.95,0.88,0.88,0.85,0.88,0.93,0.94,1.02,1.07,1.04,1.01,0.96,0.87,0.61,0.51,0.49,0.49,0.41,0.36,0.38,0.41,0.57,0.54,0.44,0.54,0.47,0.66
CYP,Cyprus,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.09,1.17,1.26,1.24,1.24,1.32,1.09,0.84,0.86,0.84,0.93,1.05,1.01,1.0,0.93,0.94,0.86,0.87,0.83,0.84,0.81,0.8,0.83,0.86,0.8,0.83,0.79,0.73,0.67,0.71
BEL,Belgium,Climate Watch,Waste,All GHG,MtCO₂e,1.06,1.11,1.16,1.21,1.27,1.4,1.49,1.65,1.72,1.78,1.97,2.05,2.22,2.39,2.47,2.7,2.71,3.08,3.28,3.71,3.88,4.14,4.26,4.23,4.32,4.32,4.11,4.29,4.18,4.03
